CGId,CGCode,College Name,District ID,Pincode,Address
10961,"AK588","PRINCE INSTITUTE OF INNOVATIVE TECHNOLOGY,GAUTAM BUDDH NAGAR [AK588]",30,201306,"Plot No-9, Knowledge Park-III, Greater Noida"
10867,"AK348","PSIT COLLEGE OF ENGINEERING,KANPUR [AK348]",44,209305,"Kanpur"
10780,"AK848","PSIT COLLEGE OF MANAGEMENT,KANPUR [AK848]",44,209305,"NH-2  KANPUR-AGRA-DELHI NATIONAL HIGHWAY, BHAUTI KANPUR -209305"
10962,"AK953","PT RAJENDRA PRASAD SMARAK COLLEGE OF PHARMACY , BAREILLY [AK953]",13,,"SANJAY NAGAR TIRAHA NEAR SBI MAHANAGAR BRANCH PILIBHIT BYPASS ROAD ASHOK VIHAR TULAPUR"
10672,"AK934","PT. NAGINA COLLEGE OF PHARMACY , AZAMGARH [AK934]",6,276136,"JOKHARA LATGHAT "
10635,"AK766","PURVANCHAL INSTITUTE OF ARCHITECTURE & DESIGN,GORAKHPUR [AK766]",34,273209,"Plot No.AL-3,Sector-9,Gida Gorakhpur (U.P.)"
10868,"AK1060","R A INSTITUTE OF PHARMACY , SIDDHARTHNAGAR [AK1060]",70,272153,"194 RAMVAPUR KURTHIYA"
10931,"AK1007","R B GAUTAM COLLEGE OF PHARMACY , HATHRAS [AK1007]",50,,"4th MILESTONE,SADABAD, NH-93,AGRA-ALIGARH HIGHWAY"
12473,"AK1169","R V INSTITUTE OF PHARMACY [AK1169]",17,246728,""
10636,"AK958","R. C. C. COLLEGE OF PHARMACY , BASTI [AK958]",14,272002,"Vill & Post- Ganeshpur"
10932,"AK1108","R. G. S. COLLEGE OF PHARMACY,LUCKNOW [AK1108]",49,226203,"VILLAGE-KARAUNDI POST- ITAUNJA, TEHSIL, BAKSHI KA TALAB."
11126,"AK906","R. K. COLLEGE OF PHARMACY,MORADABAD [AK906]",58,244502,"SHUKLA KI PULIYA, KANTH ROAD, MORADABADGF"
11237,"AK963","R. K. INSTITUTE OF PHARMACY , BAREILLY [AK963]",13,,"174-175 VILLAGE DEWRANIYA TEHSIL FARIDPUR BAREILLY"
11089,"AK1009","R. P. S. COLLEGE OF PHARMACY , BARABANKI [AK1009]",12,226010,"VILLAGE AND POST- BABURIGAON"
10805,"AK1033","R.A.S. INSTITUTE OF PHARMACY , MAU [AK1033]",55,,"PIPARIDEEH, MAU NATH BHANJAN"
10834,"AK783","R.D.ENGINEERING COLLEGE RESEARCH CENTRE,GHAZIABAD [AK783]",31,201206,"9th KM Mile Stone On NH-58 Delhi Meerut Road, Duhai, Ghaziabad"
11090,"AK231","R.D.ENGINEERING COLLEGE,GHAZIABAD [AK231]",31,201206,"9th KM Mile Stone On NH-58 Delhi Meerut Road, Duhai, Ghaziabad"
10963,"AK883","R.D.S COLLEGE OF PHARMACY,JAUNPUR [AK883]",38,0,"Kushnow, Bhaupur,Jaunpur"
11006,"AK1008","R.G. COLLEGE OF PHARMACY , HATHRAS [AK1008]",50,204216,"MAMOTA KHURD, POST SHAHPUR, SASNI DISTT - HATHRAS"
10964,"AK917","R.K. COLLEGE OF PHARMACY , ALLAHABAD [AK917]",3,211011,"Mavaiya,Near Saraswati High-Tech City,Naini,Allahabad-211010"
11194,"AK233","R.K.PHARMACY COLLEGE,AZAMGARH [AK233]",6,276001,"Azamgarh"
11159,"AK1047","R.N.COLLEGE OF PHARMACY , MORADABAD [AK1047]",58,244502,"BIJNOR ROAD, VILL SHUKLA MORADABAD"
42987,"AK1206","R.P Mishra College of Pharmacy, Fatehpur [AK1206]",28,212665,"Buxer Mod, Fatehpur"
10969,"AK361","R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW [AK361]",49,226201,"NH-24, BAKSHI KA TALAB SITAPUR ROAD Lucknow - 226201"
38168,"AK1264","R.S. PHARMACY COLLEGE, VARANASI  [AK1264]",65,229307,"RAEBARELI"
38166,"AK1270","R.S. PHARMACY COLLEGE, VARANASI  [AK1270]",75,221307,"Khajuri, Varanasi"
10737,"AK1050","R.S.D. ACADEMY (COLLEGE OF PHARMACY) , MORADABAD [AK1050]",58,244001,"RAM GANGA VIHAR PHASE II"
10869,"AK108","R.S.M.T.  COLLEGE,VARANASI [AK108]",75,221002,"Rajarshi School of Management & Technology, Udai Pratap College Campus , Bhojubeer, Varanasi (U.P.) - 221002"
11195,"AK501","R.V.INSTITUTE OF TECHNOLOGY,BIJNAUR [AK501]",17,246728,"9th Km Milestone Bijnor-Moradabad Road Bijnor - 246728"
10970,"AK204","R.V.NORTHLAND INSTITUTE,GAUTAM BUDDH NAGAR [AK204]",30,203207,"18 Km. on Ghaziabad-Bulandshahr National Highway 91, Dadri, Near Shiv Nadar University, Gautam Budh Nagar- 203207 (UP)"
10806,"AK1049","RADHA GOVIND COLLEGE OF PHARMACY , MORADABAD [AK1049]",58,,"7TH K.M. KUNDERKI ROAD, NEAR RTO OFFICE, MORADABAD"
11293,"AK69","RADHA GOVIND GROUP OF INSTITUTIONS,MEERUT [AK69]",56,250004,"Anuyogipuram, Garh Road Meerut - 250004"
11268,"AK549","RADHA GOVIND INSTITUTE OF PHARMACY,MORADABAD [AK549]",58,244412,"Moradabad"
